0x02c03800, vexabc16_gp_ve32_tile_ctrl
0x02c04000, vexabc16_dmem_ve32_bp_cfg
0x02c08000, vexabc16_pmem_ve32_bp_cfg
0x02c28000, vexabc16_vmem_ve32_simd0
0x02c38000, vexabc16_lutmem_ve32_simd0
0x02c40000, vexabc17_sc_ve32_cell
0x02c41000, vexabc17_c2s_cio2strm
0x02c42000, vexabc17_s2c_strm2cio
0x02c43000, vexabc17_tm_ve32_tile_timer
0x02c43800, vexabc17_gp_ve32_tile_ctrl
0x02c44000, vexabc17_dmem_ve32_bp_cfg
0x02c48000, vexabc17_pmem_ve32_bp_cfg
0x02c68000, vexabc17_vmem_ve32_simd0
0x02c78000, vexabc17_lutmem_ve32_simd0
0x02c80000, vexabc18_sc_ve32_cell
0x02c81000, vexabc18_c2s_cio2strm
0x02c82000, vexabc18_s2c_strm2cio
0x02c83000, vexabc18_tm_ve32_tile_timer
0x02c83800, vexabc18_gp_ve32_tile_ctrl
0x02c84000, vexabc18_dmem_ve32_bp_cfg
0x02c88000, vexabc18_pmem_ve32_bp_cfg
0x02ca8000, vexabc18_vmem_ve32_simd0
0x02cb8000, vexabc18_lutmem_ve32_simd0
0x02cc0000, vexabc19_sc_ve32_cell
0x02cc1000, vexabc19_c2s_cio2strm
0x02cc2000, vexabc19_s2c_strm2cio
0x02cc3000, vexabc19_tm_ve32_tile_timer
0x02cc3800, vexabc19_gp_ve32_tile_ctrl
0x02cc4000, vexabc19_dmem_ve32_bp_cfg
0x02cc8000, vexabc19_pmem_ve32_bp_cfg
0x02ce8000, vexabc19_vmem_ve32_simd0
0x02cf8000, vexabc19_lutmem_ve32_simd0
0x02d00000, vexabc20_sc_ve32_cell
0x02d01000, vexabc20_c2s_cio2strm
0x02d02000, vexabc20_s2c_strm2cio
0x02d03000, vexabc20_tm_ve32_tile_timer
0x02d03800, vexabc20_gp_ve32_tile_ctrl
0x02d04000, vexabc20_dmem_ve32_bp_cfg
0x02d08000, vexabc20_pmem_ve32_bp_cfg
0x02d28000, vexabc20_vmem_ve32_simd0
0x02d38000, vexabc20_lutmem_ve32_simd0
0x02d40000, vexabc21_sc_ve32_cell
0x02d41000, vexabc21_c2s_cio2strm
0x02d42000, vexabc21_s2c_strm2cio
0x02d43000, vexabc21_tm_ve32_tile_timer
0x02d43800, vexabc21_gp_ve32_tile_ctrl
0x02d44000, vexabc21_dmem_ve32_bp_cfg
0x02d48000, vexabc21_pmem_ve32_bp_cfg
0x02d68000, vexabc21_vmem_ve32_simd0
0x02d78000, vexabc21_lutmem_ve32_simd0
0x02d80000, vexabc22_sc_ve32_cell
0x02d81000, vexabc22_c2s_cio2strm
0x02d82000, vexabc22_s2c_strm2cio
0x02d83000, vexabc22_tm_ve32_tile_timer
0x02d83800, vexabc22_gp_ve32_tile_ctrl
0x02d84000, vexabc22_dmem_ve32_bp_cfg
0x02d88000, vexabc22_pmem_ve32_bp_cfg
0x02da8000, vexabc22_vmem_ve32_simd0
0x02db8000, vexabc22_lutmem_ve32_simd0
0x02dc0000, vexabc23_sc_ve32_cell
0x02dc1000, vexabc23_c2s_cio2strm
0x02dc2000, vexabc23_s2c_strm2cio
0x02dc3000, vexabc23_tm_ve32_tile_timer
0x02dc3800, vexabc23_gp_ve32_tile_ctrl
0x02dc4000, vexabc23_dmem_ve32_bp_cfg
0x02dc8000, vexabc23_pmem_ve32_bp_cfg
0x02de8000, vexabc23_vmem_ve32_simd0
0x02df8000, vexabc23_lutmem_ve32_simd0
0x02e00000, vexabc24_sc_ve32_cell
0x02e01000, vexabc24_c2s_cio2strm
0x02e02000, vexabc24_s2c_strm2cio
0x02e03000, vexabc24_tm_ve32_tile_timer
0x02e03800, vexabc24_gp_ve32_tile_ctrl
0x02e04000, vexabc24_dmem_ve32_bp_cfg
0x02e08000, vexabc24_pmem_ve32_bp_cfg
0x02e28000, vexabc24_vmem_ve32_simd0
0x02e38000, vexabc24_lutmem_ve32_simd0
0x02e40000, vexabc25_sc_ve32_cell
0x02e41000, vexabc25_c2s_cio2strm
0x02e42000, vexabc25_s2c_strm2cio
0x02e43000, vexabc25_tm_ve32_tile_timer
0x02e43800, vexabc25_gp_ve32_tile_ctrl
0x02e44000, vexabc25_dmem_ve32_bp_cfg
0x02e48000, vexabc25_pmem_ve32_bp_cfg
0x02e68000, vexabc25_vmem_ve32_simd0
0x02e78000, vexabc25_lutmem_ve32_simd0
0x02e80000, vexabc26_sc_ve32_cell
0x02e81000, vexabc26_c2s_cio2strm
0x02e82000, vexabc26_s2c_strm2cio
0x02e83000, vexabc26_tm_ve32_tile_timer
0x02e83800, vexabc26_gp_ve32_tile_ctrl
0x02e84000, vexabc26_dmem_ve32_bp_cfg
0x02e88000, vexabc26_pmem_ve32_bp_cfg
0x02ea8000, vexabc26_vmem_ve32_simd0
0x02eb8000, vexabc26_lutmem_ve32_simd0
0x02ec0000, vexabc27_sc_ve32_cell
0x02ec1000, vexabc27_c2s_cio2strm
0x02ec2000, vexabc27_s2c_strm2cio
0x02ec3000, vexabc27_tm_ve32_tile_timer
0x02ec3800, vexabc27_gp_ve32_tile_ctrl
0x02ec4000, vexabc27_dmem_ve32_bp_cfg
0x02ec8000, vexabc27_pmem_ve32_bp_cfg
0x02ee8000, vexabc27_vmem_ve32_simd0
0x02ef8000, vexabc27_lutmem_ve32_simd0
0x02f00000, vexabc28_sc_ve32_cell
0x02f01000, vexabc28_c2s_cio2strm
0x02f02000, vexabc28_s2c_strm2cio
0x02f03000, vexabc28_tm_ve32_tile_timer
0x02f03800, vexabc28_gp_ve32_tile_ctrl
0x02f04000, vexabc28_dmem_ve32_bp_cfg
0x02f08000, vexabc28_pmem_ve32_bp_cfg
0x02f28000, vexabc28_vmem_ve32_simd0
0x02f38000, vexabc28_lutmem_ve32_simd0
0x02f40000, vexabc29_sc_ve32_cell
0x02f41000, vexabc29_c2s_cio2strm
0x02f42000, vexabc29_s2c_strm2cio
0x02f43000, vexabc29_tm_ve32_tile_timer
0x02f43800, vexabc29_gp_ve32_tile_ctrl
0x02f44000, vexabc29_dmem_ve32_bp_cfg
0x02f48000, vexabc29_pmem_ve32_bp_cfg
0x02f68000, vexabc29_vmem_ve32_simd0
0x02f78000, vexabc29_lutmem_ve32_simd0
0x02f80000, vexabc30_sc_ve32_cell
0x02f81000, vexabc30_c2s_cio2strm
0x02f82000, vexabc30_s2c_strm2cio
0x02f83000, vexabc30_tm_ve32_tile_timer
0x02f83800, vexabc30_gp_ve32_tile_ctrl
0x02f84000, vexabc30_dmem_ve32_bp_cfg
0x02f88000, vexabc30_pmem_ve32_bp_cfg
0x02fa8000, vexabc30_vmem_ve32_simd0
0x02fb8000, vexabc30_lutmem_ve32_simd0
0x02fc0000, vexabc31_sc_ve32_cell
0x02fc1000, vexabc31_c2s_cio2strm
0x02fc2000, vexabc31_s2c_strm2cio
0x02fc3000, vexabc31_tm_ve32_tile_timer
0x02fc3800, vexabc31_gp_ve32_tile_ctrl
0x02fc4000, vexabc31_dmem_ve32_bp_cfg
0x02fc8000, vexabc31_pmem_ve32_bp_cfg
0x02fe8000, vexabc31_vmem_ve32_simd0
0x02ff8000, vexabc31_lutmem_ve32_simd0
0x03000000, vexabc32_sc_ve32_cell
0x03001000, vexabc32_c2s_cio2strm
